firm_id,month,nace_code.x,region_code.x,employees_monthly,nace_code.y,region_code.y,turnover_monthly,region_code,nace_code,legal_form,employees_firm,foundation_year,revenue_last_year,turnover_yoy,emp_growth,productivity,month_num,seasonal_index
F00017,2023-01-01,I56,R03,14,I56,R03,114982.57,R03,I56,Einzelunternehmen,22,2007,97406.19,NA,NA,8213.040714285715,1,2.029516407067859
F00018,2023-01-01,C10,R02,15,C10,R02,11120.65,R02,C10,KG,27,1995,110755.1,NA,NA,741.3766666666667,1,0.2826979518857736
F00019,2023-01-01,I56,R03,19,I56,R03,71900.67,R03,I56,GmbH,30,2010,317183.31,NA,NA,3784.245789473684,1,1.3607969287534816
F00020,2023-01-01,I55,R05,19,I55,R05,48904.87,R05,I55,Einzelunternehmen,32,2001,89030.48,NA,NA,2573.9405263157896,1,1.0797579816674323
F00021,2023-01-01,I56,R04,22,I56,R04,16023.36,R04,I56,GmbH,22,1996,1640373.85,NA,NA,728.3345454545455,1,0.4378065001861722
F00022,2023-01-01,I55,R10,25,I55,R10,67505.89,R10,I55,AG,28,1967,679137.85,NA,NA,2700.2356,1,1.0960072125594391
F00023,2023-01-01,C29,R02,19,C29,R02,12492.02,R02,C29,OHG,26,1983,219015.96,NA,NA,657.4747368421052,1,0.21948127456008718
F00024,2023-01-01,H49,R01,17,H49,R01,29956.4,R01,H49,GmbH,29,1996,481662.41,NA,NA,1762.1411764705883,1,0.5066684407079327
F00025,2023-01-01,H49,R03,19,H49,R03,23851.17,R03,H49,OHG,20,1973,370027.32,NA,NA,1255.3247368421053,1,0.39229926628969863
F00026,2023-01-01,G47,R02,18,G47,R02,14447.74,R02,G47,Einzelunternehmen,23,1995,154668.02,NA,NA,802.6522222222222,1,0.18363603347503132
F00027,2023-01-01,C10,R02,21,C10,R02,15979.23,R02,C10,KG,26,2014,559165.65,NA,NA,760.9157142857142,1,0.27054637806149173
F00028,2023-01-01,G47,R09,18,G47,R09,142679.77,R09,G47,KG,26,2011,126278.09,NA,NA,7926.653888888888,1,3.1229150756370974
F00029,2023-01-01,C29,R01,15,C29,R01,51811.41,R01,C29,AG,23,1979,8343.16,NA,NA,3454.094,1,1.0362723106580238
F00030,2023-01-01,C10,R04,22,C10,R04,19093.29,R04,C10,Einzelunternehmen,28,1977,116878.78,NA,NA,867.8768181818182,1,0.4810365117450689
F00031,2023-01-01,I56,R08,10,I56,R08,28169.15,R08,I56,OHG,28,2016,367263.83,NA,NA,2816.915,1,0.6289833688369875
F00032,2023-01-01,C29,R04,22,C29,R04,47232.35,R04,C29,Einzelunternehmen,18,1967,1009987.65,NA,NA,2146.9249999999997,1,0.9324654730936899
F00033,2023-01-01,I56,R10,15,I56,R10,31205.28,R10,I56,GmbH,22,1992,403504.75,NA,NA,2080.352,1,0.7844998664438986
F00034,2023-01-01,C29,R07,22,C29,R07,49099.74,R07,C29,AG,25,2012,1099263.39,NA,NA,2231.8063636363636,1,1.140900495338747
F00035,2023-01-01,C10,R03,22,C10,R03,149126.98,R03,C10,GmbH,21,1988,204706.61,NA,NA,6778.499090909091,1,2.386260983772134
F00036,2023-01-01,H49,R09,15,H49,R09,42114.25,R09,H49,AG,26,2009,132379.37,NA,NA,2807.616666666667,1,0.7795495422829861
F00037,2023-01-01,I55,R06,23,I55,R06,22289.28,R06,I55,OHG,22,1998,475527.81,NA,NA,969.0991304347825,1,0.46921361245845833
F00038,2023-01-01,C29,R02,13,C29,R02,21342.63,R02,C29,Einzelunternehmen,21,1990,186677.94,NA,NA,1641.7407692307693,1,0.29092354400673154
F00039,2023-01-01,G47,R01,19,G47,R01,35379.36,R01,G47,Einzelunternehmen,24,2014,206435.78,NA,NA,1862.0715789473684,1,1.3605491672638566
F00040,2023-01-01,G47,R01,17,G47,R01,58343.89,R01,G47,GmbH,19,1996,110250.77,NA,NA,3431.9935294117645,1,1.4382597182367383
F00041,2023-01-01,I56,R08,23,I56,R08,57205.67,R08,I56,GmbH,33,1985,1092438.8,NA,NA,2487.203043478261,1,1.6749723543494932
F00042,2023-01-01,C10,R09,21,C10,R09,48833.79,R09,C10,AG,29,2018,118816.75,NA,NA,2325.4185714285713,1,1.0769034955004968
F00043,2023-01-01,C29,R06,20,C29,R06,51833.61,R06,C29,AG,29,1972,90658.61,NA,NA,2591.6805,1,1.61697654088918
F00044,2023-01-01,I56,R08,18,I56,R08,29232.73,R08,I56,KG,23,1990,28029.5,NA,NA,1624.0405555555556,1,0.6819815378655026
F00045,2023-01-01,G47,R02,13,G47,R02,42603.82,R02,G47,AG,26,1971,221905.04,NA,NA,3277.216923076923,1,0.8724082746955729
F00046,2023-01-01,H49,R04,28,H49,R04,169373.55,R04,H49,KG,21,2018,158164.04,NA,NA,6049.055357142856,1,2.2523049504945227
F00047,2023-01-01,H49,R08,23,H49,R08,56625.23,R08,H49,GmbH,30,2017,483441.14,NA,NA,2461.9665217391307,1,1.2850822677201488
F00048,2023-01-01,G47,R01,16,G47,R01,18580.99,R01,G47,GmbH,23,2006,1021516.11,NA,NA,1161.311875,1,0.3043722845851542
F00049,2023-01-01,I55,R05,21,I55,R05,37998.36,R05,I55,GmbH,15,2008,48162.53,NA,NA,1809.4457142857143,1,0.7020944875197319
F00050,2023-01-01,H49,R02,23,H49,R02,36680.66,R02,H49,AG,31,1983,36663.02,NA,NA,1594.8113043478263,1,0.6048705051286919
F00051,2023-01-01,C10,R05,26,C10,R05,16352.29,R05,C10,KG,32,1988,109093.78,NA,NA,628.9342307692308,1,0.22518885155929017
F00052,2023-01-01,H49,R06,23,H49,R06,34059.85,R06,H49,AG,23,2012,184664.98,NA,NA,1480.8630434782608,1,0.975494716333422
F00053,2023-01-01,I55,R09,23,I55,R09,38178.21,R09,I55,KG,23,2007,70776.54,NA,NA,1659.9221739130435,1,0.7160572728257826
F00054,2023-01-01,I56,R06,23,I56,R06,16194.23,R06,I56,GmbH,37,2004,15906.7,NA,NA,704.0969565217391,1,0.28096188841274933
F00055,2023-01-01,I55,R08,23,I55,R08,27711.12,R08,I55,GmbH,24,1984,1045724.36,NA,NA,1204.831304347826,1,1.0123367851002907
F00056,2023-01-01,I55,R07,30,I55,R07,14111.93,R07,I55,OHG,21,2017,137696.8,NA,NA,470.3976666666667,1,0.408702157380507
F00057,2023-01-01,C29,R08,20,C29,R08,207903.86,R08,C29,OHG,29,2001,851064.99,NA,NA,10395.193,1,2.8839403409501405
F00058,2023-01-01,I55,R04,19,I55,R04,20916.84,R04,I55,KG,23,1996,361910.4,NA,NA,1100.8863157894737,1,0.5190789076949688
F00059,2023-01-01,I55,R06,24,I55,R06,24138.19,R06,I55,KG,24,1988,160375.57,NA,NA,1005.7579166666666,1,0.393555028710965
F00060,2023-01-01,H49,R05,27,H49,R05,156611.43,R05,H49,KG,32,1968,365756.28,NA,NA,5800.423333333333,1,2.9705717207701356
F00061,2023-01-01,I55,R03,17,I55,R03,13868.16,R03,I55,KG,29,1990,141290.46,NA,NA,815.7741176470588,1,0.1363965492440503
F00062,2023-01-01,C10,R08,19,C10,R08,71150.74,R08,C10,Einzelunternehmen,32,1973,631471.24,NA,NA,3744.7757894736847,1,1.7252652567744098
F00063,2023-01-01,I56,R08,19,I56,R08,26969.34,R08,I56,AG,19,1981,45505.07,NA,NA,1419.4389473684212,1,0.5342671494228456
F00064,2023-01-01,I55,R07,17,I55,R07,24396.58,R07,I55,KG,30,2007,136342.49,NA,NA,1435.0929411764707,1,0.4834763094032794
F00065,2023-01-01,G47,R08,18,G47,R08,35441.31,R08,G47,OHG,29,2021,194614.67,NA,NA,1968.9616666666666,1,0.4989248430963533
F00066,2023-01-01,I55,R02,16,I55,R02,124941.1,R02,I55,AG,22,1995,360260.66,NA,NA,7808.81875,1,3.3609991015849268
F00067,2023-01-01,C10,R02,19,C10,R02,3460.02,R02,C10,KG,37,1968,99822.9,NA,NA,182.10631578947368,1,0.09934490406058223
F00068,2023-01-01,G47,R10,16,G47,R10,30399.51,R10,G47,Einzelunternehmen,31,2001,671149.58,NA,NA,1899.969375,1,0.4091658531728412
F00069,2023-01-01,H49,R10,20,H49,R10,28250.19,R10,H49,GmbH,25,1972,88619.87,NA,NA,1412.5095,1,0.6642183624929111
F00070,2023-01-01,H49,R09,19,H49,R09,7409.57,R09,H49,AG,26,2016,44694.37,NA,NA,389.97736842105263,1,0.1776616334141862
F00071,2023-01-01,H49,R07,20,H49,R07,101750.27,R07,H49,OHG,33,2009,282018.16,NA,NA,5087.5135,1,1.697256810746151
F00072,2023-01-01,C10,R01,30,C10,R01,25095.35,R01,C10,KG,25,1977,290671.15,NA,NA,836.5116666666667,1,0.801418507474253
F00073,2023-01-01,I56,R04,25,I56,R04,62456.21,R04,I56,Einzelunternehmen,33,2018,71338.34,NA,NA,2498.2484,1,1.4165532109779102
F00074,2023-01-01,C29,R04,19,C29,R04,31948.34,R04,C29,GmbH,31,1981,277607.11,NA,NA,1681.4915789473685,1,0.6291276730966778
F00075,2023-01-01,G47,R07,23,G47,R07,16707.11,R07,G47,Einzelunternehmen,23,1966,110368.15,NA,NA,726.3960869565218,1,0.36590636038907404
F00076,2023-01-01,C29,R09,18,C29,R09,63770.21,R09,C29,GmbH,38,1993,103374.09,NA,NA,3542.7894444444446,1,1.3981232571933209
F00077,2023-01-01,H49,R07,26,H49,R07,42480.91,R07,H49,KG,24,1984,24224.03,NA,NA,1633.881153846154,1,0.8686502842964204
F00078,2023-01-01,I55,R07,25,I55,R07,14294.87,R07,I55,KG,33,1973,165047.06,NA,NA,571.7948,1,0.2618085282225109
F00079,2023-01-01,G47,R04,18,G47,R04,95441.57,R04,G47,OHG,28,2011,139620.44,NA,NA,5302.309444444445,1,3.3073707689695366
F00080,2023-01-01,I56,R05,18,I56,R05,21744.6,R05,I56,KG,18,2008,181847.43,NA,NA,1208.0333333333333,1,0.6772182537008917
F00081,2023-01-01,C10,R04,20,C10,R04,32686.58,R04,C10,Einzelunternehmen,19,1973,69532.02,NA,NA,1634.3290000000002,1,0.9008007534557793
F00082,2023-01-01,G47,R04,24,G47,R04,58367.3,R04,G47,Einzelunternehmen,24,2010,706535.49,NA,NA,2431.9708333333333,1,1.2969029759711892
F00083,2023-01-01,H49,R02,19,H49,R02,43810.07,R02,H49,GmbH,31,1968,1285407.84,NA,NA,2305.793157894737,1,0.900689295532472
F00084,2023-01-01,H49,R08,18,H49,R08,27140.37,R08,H49,GmbH,24,2021,31770.38,NA,NA,1507.7983333333332,1,0.6594114310839005
F00085,2023-01-01,C10,R05,19,C10,R05,24446.72,R05,C10,OHG,27,2016,277752.52,NA,NA,1286.6694736842105,1,0.4960974434989012
F00086,2023-01-01,C10,R09,18,C10,R09,25234.15,R09,C10,KG,23,2020,121650.81,NA,NA,1401.8972222222224,1,0.509519211996494
F00087,2023-01-01,I55,R07,23,I55,R07,83236.95,R07,I55,GmbH,27,1969,501324.09,NA,NA,3618.9978260869566,1,1.6099000619143111
F00088,2023-01-01,H49,R04,24,H49,R04,14516.72,R04,H49,KG,26,1975,162594.85,NA,NA,604.8633333333333,1,0.37529196239381535
F00089,2023-01-01,G47,R05,17,G47,R05,10603.58,R05,G47,Einzelunternehmen,21,1982,57014.06,NA,NA,623.74,1,0.2582971460493879
F00090,2023-01-01,C29,R04,17,C29,R04,53420.21,R04,C29,OHG,28,2011,77523.73,NA,NA,3142.365294117647,1,1.1974907489234319
F00091,2023-01-01,I56,R06,16,I56,R06,45148.43,R06,I56,OHG,29,1965,578096.01,NA,NA,2821.776875,1,0.8293011436151251
F00092,2023-01-01,C10,R10,19,C10,R10,62962.4,R10,C10,Einzelunternehmen,27,1999,257085.19,NA,NA,3313.8105263157895,1,1.170584587199441
F00093,2023-01-01,G47,R04,16,G47,R04,10078,R04,G47,GmbH,25,2003,523153.23,NA,NA,629.875,1,0.32950177895704363
F00094,2023-01-01,C29,R04,20,C29,R04,55292.18,R04,C29,OHG,25,1974,57951.68,NA,NA,2764.609,1,0.9861606457572627
F00095,2023-01-01,I55,R03,29,I55,R03,94891.56,R03,I55,AG,27,1970,840089.84,NA,NA,3272.1227586206896,1,1.8482466543849372
F00096,2023-01-01,H49,R05,16,H49,R05,3329.47,R05,H49,AG,26,1971,75296.03,NA,NA,208.091875,1,0.07167016616617823
F00097,2023-01-01,C10,R10,19,C10,R10,16533.37,R10,C10,Einzelunternehmen,25,1984,1028202.56,NA,NA,870.1773684210526,1,0.46079050758795326
F00098,2023-01-01,C29,R09,18,C29,R09,32386.07,R09,C29,KG,27,2009,106392.48,NA,NA,1799.226111111111,1,0.7168646701170165
F00099,2023-01-01,G47,R10,21,G47,R10,28987.32,R10,G47,Einzelunternehmen,29,2008,195674.34,NA,NA,1380.3485714285714,1,0.5788280410771609
F00100,2023-01-01,G47,R06,19,G47,R06,45894.73,R06,G47,KG,23,1988,123516.73,NA,NA,2415.512105263158,1,0.8566581084347582
F00101,2023-01-01,C10,R03,19,C10,R03,41608.31,R03,C10,Einzelunternehmen,35,2000,163351.26,NA,NA,2189.911052631579,1,0.8199686507132348
F00102,2023-01-01,C29,R08,16,C29,R08,39071.09,R08,C29,AG,26,1978,139035.35,NA,NA,2441.943125,1,1.244558506620299
F00103,2023-01-01,C10,R02,22,C10,R02,39016.51,R02,C10,Einzelunternehmen,17,2016,78433.17,NA,NA,1773.4777272727274,1,0.8376826898546469
F00104,2023-01-01,C29,R07,19,C29,R07,15163.08,R07,C29,Einzelunternehmen,23.5,1970,217078,NA,NA,798.0568421052632,1,0.3686743090396962
F00105,2023-01-01,I56,R04,14,I56,R04,27283.79,R04,I56,GmbH,22,2020,38707.13,NA,NA,1948.842142857143,1,1.0089330683649493
F00106,2023-01-01,H49,R05,20,H49,R05,65129.28,R05,H49,OHG,24,2002,123359.3,NA,NA,3256.464,1,0.8749519857569192
F00107,2023-01-01,H49,R01,12,H49,R01,9902.48,R01,H49,GmbH,27,2007,517481.48,NA,NA,825.2066666666666,1,0.32770131582147793
F00108,2023-01-01,I56,R02,20,I56,R02,24131.64,R02,I56,KG,27,1969,84523.85,NA,NA,1206.5819999999999,1,0.39351399402564163
F00109,2023-01-01,I56,R02,18,I56,R02,7129.65,R02,I56,Einzelunternehmen,25,2016,379377.55,NA,NA,396.09166666666664,1,0.16060409820129803
F00110,2023-01-01,G47,R10,23,G47,R10,96960.78,R10,G47,OHG,30,2014,133904.53,NA,NA,4215.686086956522,1,2.0327797422633105
F00111,2023-01-01,C10,R01,29,C10,R01,65568.43,R01,C10,KG,32,1977,37030.52,NA,NA,2260.980344827586,1,1.6494240178817239
F00112,2023-01-01,G47,R07,20,G47,R07,27347.16,R07,G47,Einzelunternehmen,29,2007,98862.8,NA,NA,1367.358,1,0.8066161387075507
F00113,2023-01-01,C10,R02,15,C10,R02,59573.83,R02,C10,Einzelunternehmen,30,1981,556692.35,NA,NA,3971.588666666667,1,1.0137487679569575
F00114,2023-01-01,H49,R01,26,H49,R01,59542.65,R01,H49,AG,37,1972,170165.54,NA,NA,2290.101923076923,1,1.0292403097441496
F00115,2023-01-01,C10,R07,22,C10,R07,31826.62,R07,C10,OHG,33,2011,128227.54,NA,NA,1446.6645454545453,1,0.6146532737762106
F00116,2023-01-01,C29,R04,27,C29,R04,49166.2,R04,C29,KG,30,2001,179819.66,NA,NA,1820.9703703703703,1,0.8045579321301214
F00117,2023-01-01,H49,R01,13,H49,R01,15212.16,R01,H49,AG,23,2013,70967.17,NA,NA,1170.1661538461537,1,0.3062002379944431
F00118,2023-01-01,C10,R08,25,C10,R08,58972.04,R08,C10,OHG,21,1965,216020.93,NA,NA,2358.8816,1,0.6271817906542724
F00119,2023-01-01,I55,R06,16,I55,R06,72001.58,R06,I55,KG,25,1975,27814.37,NA,NA,4500.09875,1,1.6055163277697095
F00120,2023-01-01,G47,R10,20,G47,R10,37443.46,R10,G47,Einzelunternehmen,21,2008,402789.88,NA,NA,1872.173,1,0.8351784024855794
F00121,2023-01-01,G47,R07,20,G47,R07,31471.36,R07,G47,KG,27,1972,276994.3,NA,NA,1573.568,1,0.8941280175753292
F00122,2023-01-01,H49,R10,23,H49,R10,190339.11,R10,H49,OHG,22,1984,206128.66,NA,NA,8275.61347826087,1,2.8630198633147548
F00123,2023-01-01,I55,R04,22,I55,R04,99137.97,R04,I55,AG,30,2019,309519.21,NA,NA,4506.271363636363,1,2.5752564112194274
F00124,2023-01-01,C10,R09,19,C10,R09,53164.15,R09,C10,GmbH,20,2020,114930.17,NA,NA,2798.113157894737,1,0.9951099107250568
F00125,2023-01-01,C10,R01,21,C10,R01,43437.18,R01,C10,AG,25,1998,182667.43,NA,NA,2068.437142857143,1,0.666330071093628
F00126,2023-01-01,H49,R06,19,H49,R06,84558.26,R06,H49,GmbH,27,1976,447527.03,NA,NA,4450.434736842105,1,1.8296154980449582
F00127,2023-01-01,G47,R01,26,G47,R01,22511.93,R01,G47,KG,32,2006,60898.78,NA,NA,865.8434615384615,1,0.43139515880454693
F00128,2023-01-01,C29,R08,19,C29,R08,26371.85,R08,C29,Einzelunternehmen,36,2007,161653.26,NA,NA,1387.9921052631578,1,0.5618334554424037
F00129,2023-01-01,I55,R09,21,I55,R09,33999.14,R09,I55,GmbH,21,1997,315170.58,NA,NA,1619.0066666666667,1,0.8218862068554981
F00130,2023-01-01,I56,R10,18,I56,R10,62243.21,R10,I56,Einzelunternehmen,27,1987,212982.88,NA,NA,3457.956111111111,1,1.5507242101120449
F00131,2023-01-01,I55,R07,19,I55,R07,22635.07,R07,I55,AG,25,1997,181777.34,NA,NA,1191.3194736842106,1,0.6080575121783548
F00132,2023-01-01,I55,R07,15,I55,R07,76992.71,R07,I55,GmbH,22,1978,405432.04,NA,NA,5132.847333333334,1,2.0618987498019643
F00133,2023-01-01,I56,R10,21,I56,R10,79273.91,R10,I56,Einzelunternehmen,25,1988,776454.72,NA,NA,3774.9480952380954,1,1.0969002151501404
F00134,2023-01-01,C10,R04,20,C10,R04,20625.9,R04,C10,Einzelunternehmen,16,1979,196392.51,NA,NA,1031.295,1,0.4819964555429959
F00135,2023-01-01,H49,R04,19,H49,R04,25590.96,R04,H49,OHG,16,1987,251585.73,NA,NA,1346.8926315789474,1,0.43179885508697424
F00136,2023-01-01,G47,R06,17,G47,R06,35320.86,R06,G47,GmbH,37,2022,142255.91,NA,NA,2077.6976470588233,1,1.1393222149439342
F00137,2023-01-01,C29,R05,25,C29,R05,26528.69,R05,C29,OHG,22,2001,702461.48,NA,NA,1061.1476,1,0.5099454441203319
F00138,2023-01-01,G47,R02,21,G47,R02,43854.84,R02,G47,GmbH,26,2014,160909.25,NA,NA,2088.325714285714,1,1.4711116955399874
F00139,2023-01-01,H49,R04,26,H49,R04,46193.2,R04,H49,GmbH,21,1988,89358.73,NA,NA,1776.6615384615384,1,1.0247501577328937
F00140,2023-01-01,I56,R06,25,I56,R06,40148.38,R06,I56,KG,30,2013,481781.09,NA,NA,1605.9352,1,0.92951151446533
F00141,2023-01-01,C10,R05,19,C10,R05,48637.01,R05,C10,KG,28,1981,42481.55,NA,NA,2559.8426315789475,1,0.9499053462233579
F00142,2023-01-01,I55,R09,15,I55,R09,94290.07,R09,I55,KG,27,2022,76357.25,NA,NA,6286.004666666667,1,1.924888867045326
F00143,2023-01-01,C29,R03,23,C29,R03,31149.15,R03,C29,GmbH,31,2016,55701.36,NA,NA,1354.3108695652174,1,0.5110670082368257
F00144,2023-01-01,I55,R03,22,I55,R03,108595.26,R03,I55,Einzelunternehmen,31,1973,198580.97,NA,NA,4936.148181818182,1,2.210088306311258
F00145,2023-01-01,G47,R08,12,G47,R08,136460.8,R08,G47,OHG,29,1975,46417.27,NA,NA,11371.733333333332,1,2.0403353615250044
F00146,2023-01-01,I55,R08,23,I55,R08,77926.19,R08,I55,GmbH,26,2017,221558.8,NA,NA,3388.0952173913042,1,1.3535700744176034
F00147,2023-01-01,I56,R10,16,I56,R10,23359.35,R10,I56,AG,29,2014,95170.36,NA,NA,1459.959375,1,0.6289278796732715
F00148,2023-01-01,I55,R08,33,I55,R08,15832.97,R08,I55,Einzelunternehmen,28,2005,156960.25,NA,NA,479.78696969696966,1,0.36632147402043436
F00149,2023-01-01,G47,R08,12,G47,R08,26261.78,R08,G47,AG,27,2009,66266.4,NA,NA,2188.4816666666666,1,0.63063178730691
F00150,2023-01-01,G47,R10,17,G47,R10,51334.38,R10,G47,GmbH,28,1982,356915.3,NA,NA,3019.6694117647057,1,1.4027554382649214
F00151,2023-01-01,C29,R01,13,C29,R01,63101.13,R01,C29,KG,22,1967,103925.27,NA,NA,4853.933076923076,1,1.9040442261420891
F00152,2023-01-01,I56,R09,24,I56,R09,16023.42,R09,I56,GmbH,27,2019,278246.9,NA,NA,667.6425,1,0.4305764794010979
F00153,2023-01-01,C29,R08,24,C29,R08,72757,R08,C29,GmbH,30,2010,276695.32,NA,NA,3031.5416666666665,1,0.9441747707206201
F00154,2023-01-01,C10,R10,19,C10,R10,156288.15,R10,C10,AG,31,1992,54344.92,NA,NA,8225.692105263157,1,3.443586585585316
F00155,2023-01-01,I55,R04,21,I55,R04,27250.39,R04,I55,KG,23,2011,1159486.77,NA,NA,1297.637619047619,1,0.5686579327507102
F00156,2023-01-01,C29,R06,18,C29,R06,47917.11,R06,C29,GmbH,28,1977,208861.22,NA,NA,2662.0616666666665,1,1.0425579835468828
F00157,2023-01-01,I56,R02,25,I56,R02,30803.09,R02,I56,Einzelunternehmen,23,1973,278135.42,NA,NA,1232.1236,1,0.5379233026776151
F00158,2023-01-01,G47,R08,18,G47,R08,36623.91,R08,G47,KG,21,2008,351805.18,NA,NA,2034.6616666666669,1,0.7973055314386384
F00159,2023-01-01,I56,R04,13,I56,R04,188163.31,R04,I56,KG,17,1975,176640.58,NA,NA,14474.100769230768,1,3.210662399054291
F00160,2023-01-01,I55,R08,20,I55,R08,15309.02,R08,I55,GmbH,33,2020,146573.56,NA,NA,765.451,1,0.35859693189872366
F00161,2023-01-01,C29,R08,18,C29,R08,35171.32,R08,C29,GmbH,27,2012,8265672.06,NA,NA,1953.9622222222222,1,0.43650096648385006
F00162,2023-01-01,G47,R03,18,G47,R03,12970.62,R03,G47,Einzelunternehmen,30,1990,653773.67,NA,NA,720.59,1,0.3777670954375518
F00163,2023-01-01,G47,R10,19,G47,R10,77364.78,R10,G47,Einzelunternehmen,30,2022,38186.95,NA,NA,4071.8305263157895,1,1.6870825350207186
F00164,2023-01-01,I55,R08,29,I55,R08,53329.52,R08,I55,KG,24,2012,303173.76,NA,NA,1838.9489655172413,1,0.655250928777097
F00165,2023-01-01,C10,R07,23,C10,R07,29014.61,R07,C10,OHG,28,1987,1090634.7,NA,NA,1261.5047826086957,1,0.4880303474911647
F00166,2023-01-01,C10,R03,11,C10,R03,4240.09,R03,C10,KG,20,1965,92859.42,NA,NA,385.4627272727273,1,0.08574277985032845
F00167,2023-01-01,I55,R07,15,I55,R07,23010.42,R07,I55,KG,22,1984,83984.63,NA,NA,1534.0279999999998,1,0.48232052093997396
F00168,2023-01-01,I56,R08,13,I56,R08,19930.12,R08,I56,KG,17,1978,159384.87,NA,NA,1533.0861538461538,1,0.41371063668448516
F00169,2023-01-01,C29,R06,22,C29,R06,13267.53,R06,C29,GmbH,21,2018,74315.69,NA,NA,603.0695454545455,1,0.28883159276756876
F00170,2023-01-01,I56,R03,33,I56,R03,44631.79,R03,I56,KG,26,1977,168283.28,NA,NA,1352.4784848484849,1,0.8591535963245948
F00171,2023-01-01,H49,R01,18,H49,R01,27832.19,R01,H49,AG,22,1976,263425.43,NA,NA,1546.2327777777778,1,0.6974557439886451
F00172,2023-01-01,I56,R01,16,I56,R01,20330.08,R01,I56,GmbH,26,2014,49841.04,NA,NA,1270.63,1,0.6081204701952223
F00173,2023-01-01,I56,R03,17,I56,R03,65852.57,R03,I56,GmbH,20,1976,79260.56,NA,NA,3873.6805882352946,1,1.2440942504260213
F00174,2023-01-01,C29,R10,23,C29,R10,44571.87,R10,C29,Einzelunternehmen,26,1979,125052.25,NA,NA,1937.907391304348,1,0.6491896836187553
F00175,2023-01-01,C29,R09,24,C29,R09,21752.44,R09,C29,OHG,22,1973,543881.6,NA,NA,906.3516666666666,1,0.5564799856602026
F00176,2023-01-01,C10,R03,18,C10,R03,67497.68,R03,C10,Einzelunternehmen,18,2016,278511.84,NA,NA,3749.8711111111106,1,1.4266770835287372
F00177,2023-01-01,H49,R07,26,H49,R07,8683.72,R07,H49,OHG,27,1977,278253.81,NA,NA,333.98923076923074,1,0.3320252376375971
F00178,2023-01-01,I56,R10,14,I56,R10,10925.79,R10,I56,OHG,30,1988,253607.6,NA,NA,780.4135714285715,1,0.27446169152933253
F00179,2023-01-01,H49,R10,18,H49,R10,49607.5,R10,H49,OHG,29,1968,204128.8,NA,NA,2755.972222222222,1,1.28973260488613
F00180,2023-01-01,C29,R05,20,C29,R05,37935.35,R05,C29,GmbH,39,1994,212963.3,NA,NA,1896.7675,1,0.5245543489731254
F00181,2023-01-01,C10,R06,20,C10,R06,102767.72,R06,C10,GmbH,24,2019,409296.03,NA,NA,5138.386,1,1.5026454428174698
F00182,2023-01-01,I55,R04,19,I55,R04,60380.06,R04,I55,GmbH,23,1984,365150.23,NA,NA,3177.897894736842,1,1.3856365610636818
